User_ID,User_Name,Email_Phone,Country,Subscription_Type,Genre_Watched,Watch_Time_Hours,Rating
U1104,Chris Evans,"bob@yahoo.com,09011223344",UK,Standard,action,70.53,3
U1136,sarah connor,"john@example.com,08012345678",nigeria,Premium,SCI-FI,118.94,3
U1078,sarah connor,"alice@gmail.com,07098765432",uk,basic,Action,32.32,1
,Chris Evans,"bob@yahoo.com,09011223344",Usa,premium,comedy,21.39,5
U1115,jane smith,"bob@yahoo.com,09011223344",Nigeria,standard,sci-fi,111.79,5
U1002,sarah connor,"john@example.com,08012345678",uk,Standard,sci-fi,80.21,
U1123,Chris Evans,"john@example.com,08012345678",USA,basic,Drama,117.08,
U1045,bob lee,"john@example.com,08012345678",uk,premium,drama,27.66,
U1042,Alice Brown,"bob@yahoo.com,09011223344",USA,Premium,sci-fi,0.58,2
U1069,bob lee,"john@example.com,08012345678",Usa,Basic,Comedy,51.03,
U1090,Alice Brown,"john@example.com,08012345678",canada,standard,action,,2
U1026,bob lee,"john@example.com,08012345678",Nigeria,Premium,Comedy,79.48,2
U1138,Chris Evans,"alice@gmail.com,07098765432",Canada,Premium,Comedy,24.86,1
U1082,Chris Evans,"john@example.com,08012345678",UK,Basic,Drama,66.02,1
U1096,John Doe,"john@example.com,08012345678",USA,standard,action,61.24,4
U1140,Alice Brown,"alice@gmail.com,07098765432",Usa,standard,action,64.65,2
U1036,Alice Brown,"bob@yahoo.com,09011223344",USA,standard,sci-fi,45.44,4
U1081,bob lee,"bob@yahoo.com,09011223344",canada,Standard,Action,78.89,5
U1022,Alice Brown,"bob@yahoo.com,09011223344",Canada,standard,Drama,2.13,1
U1143,Alice Brown,"bob@yahoo.com,09011223344",nigeria,standard,action,62.16,3
U1067,bob lee,"alice@gmail.com,07098765432",UK,Premium,SCI-FI,36.1,3
U1114,bob lee,"bob@yahoo.com,09011223344",uk,premium,comedy,67.29,
U1011,Chris Evans,"alice@gmail.com,07098765432",canada,standard,SCI-FI,118.84,3
U1065,jane smith,"bob@yahoo.com,09011223344",UK,Standard,action,83.6,1
U1085,bob lee,"alice@gmail.com,07098765432",Nigeria,premium,Drama,70.9,1
U1006,jane smith,"bob@yahoo.com,09011223344",Usa,Standard,comedy,82.02,
U1027,John Doe,"bob@yahoo.com,09011223344",UK,Standard,Drama,103.61,5
U1076,John Doe,"john@example.com,08012345678",Canada,Standard,comedy,3.84,5
U1139,,"alice@gmail.com,07098765432",uk,Basic,Drama,30.3,
U1126,John Doe,"bob@yahoo.com,09011223344",USA,Basic,sci-fi,8.97,3
U1041,John Doe,"john@example.com,08012345678",Nigeria,standard,Drama,79.07,3
U1004,,"bob@yahoo.com,09011223344",nigeria,Basic,Action,12.22,1
U1135,Chris Evans,"alice@gmail.com,07098765432",Usa,Premium,action,112.17,5
U1032,Chris Evans,"alice@gmail.com,07098765432",Canada,standard,sci-fi,49.31,2
U1127,John Doe,"bob@yahoo.com,09011223344",Usa,Standard,sci-fi,72.84,3
U1132,jane smith,"bob@yahoo.com,09011223344",uk,Premium,action,66.99,2
U1068,John Doe,"bob@yahoo.com,09011223344",canada,Standard,drama,94.38,2
U1010,Chris Evans,"bob@yahoo.com,09011223344",,Basic,action,32.04,
U1095,bob lee,"john@example.com,08012345678",USA,premium,Action,49.57,5
,Chris Evans,"bob@yahoo.com,09011223344",UK,Standard,comedy,109.84,2
U1000,bob lee,"bob@yahoo.com,09011223344",Usa,Basic,Drama,32.35,
U1119,sarah connor,,Usa,basic,comedy,75.04,2
U1111,jane smith,"bob@yahoo.com,09011223344",nigeria,,Drama,28.15,5
U1064,Alice Brown,"bob@yahoo.com,09011223344",Usa,standard,drama,5.01,5
U1044,John Doe,"alice@gmail.com,07098765432",Nigeria,Standard,action,106.16,1
U1086,sarah connor,"alice@gmail.com,07098765432",Usa,basic,Action,95.99,4
U1028,jane smith,"john@example.com,08012345678",nigeria,standard,comedy,6.26,1
U1040,bob lee,"john@example.com,08012345678",uk,Basic,action,,3
U1112,jane smith,"alice@gmail.com,07098765432",Nigeria,Premium,drama,112.49,1
U1025,John Doe,"alice@gmail.com,07098765432",UK,basic,comedy,33.35,2
U1023,sarah connor,"bob@yahoo.com,09011223344",USA,Basic,SCI-FI,25.23,4
U1117,Alice Brown,"john@example.com,08012345678",Canada,standard,action,8.23,1
U1079,Chris Evans,"john@example.com,08012345678",UK,Premium,sci-fi,103.63,2
U1039,sarah connor,"alice@gmail.com,07098765432",UK,standard,Comedy,111,2
U1093,John Doe,"bob@yahoo.com,09011223344",Usa,Basic,Comedy,80.51,3
,,,,,,,
,,,,,,,
U1134,jane smith,"alice@gmail.com,07098765432",Canada,premium,action,13.44,4
U1047,sarah connor,"bob@yahoo.com,09011223344",canada,Premium,sci-fi,37.57,1
U1108,jane smith,"john@example.com,08012345678",uk,Basic,Action,81.96,2
U1061,Alice Brown,"alice@gmail.com,07098765432",UK,Standard,action,12.39,3
U1073,Chris Evans,"alice@gmail.com,07098765432",nigeria,Standard,Action,21.2,
U1033,jane smith,"alice@gmail.com,07098765432",,Basic,Action,48.35,3
U1120,bob lee,"john@example.com,08012345678",USA,Premium,action,101.28,3
U1118,Alice Brown,"bob@yahoo.com,09011223344",UK,Premium,action,94.96,2
U1125,,,Usa,Basic,Comedy,44.4,5
U1062,jane smith,"bob@yahoo.com,09011223344",uk,premium,SCI-FI,62.75,5
,,,,,,,
U1019,sarah connor,"alice@gmail.com,07098765432",USA,,action,29.98,5
U1084,bob lee,"bob@yahoo.com,09011223344",Usa,Basic,drama,108.74,4
U1053,bob lee,"alice@gmail.com,07098765432",nigeria,Premium,sci-fi,18.02,2
U1005,jane smith,"john@example.com,08012345678",USA,Premium,Drama,82.6,1
U1042,Alice Brown,"bob@yahoo.com,09011223344",USA,Premium,sci-fi,0.58,2
U1124,sarah connor,"john@example.com,08012345678",uk,premium,comedy,117.59,
U1049,Alice Brown,"alice@gmail.com,07098765432",canada,Basic,drama,21.03,2
U1035,bob lee,"alice@gmail.com,07098765432",uk,basic,drama,86.33,5
U1080,bob lee,"alice@gmail.com,07098765432",uk,Standard,drama,17.59,4
U1077,John Doe,"bob@yahoo.com,09011223344",nigeria,Standard,sci-fi,31.41,5
U1034,sarah connor,"john@example.com,08012345678",Nigeria,premium,sci-fi,11.77,3
U1046,bob lee,"bob@yahoo.com,09011223344",nigeria,Basic,drama,93.58,2
U1007,Chris Evans,"john@example.com,08012345678",uk,Premium,drama,101.5,1
U1043,jane smith,"bob@yahoo.com,09011223344",Canada,basic,Action,111.72,5
U1070,John Doe,"alice@gmail.com,07098765432",Canada,basic,Action,,1
U1122,sarah connor,"bob@yahoo.com,09011223344",nigeria,standard,Action,9.45,1
U1110,jane smith,"bob@yahoo.com,09011223344",,Basic,action,55.89,
U1091,sarah connor,"alice@gmail.com,07098765432",uk,Basic,sci-fi,106,5
U1083,sarah connor,"alice@gmail.com,07098765432",uk,premium,action,69.65,3
U1144,Chris Evans,"john@example.com,08012345678",Usa,basic,comedy,59.02,5
U1069,bob lee,"john@example.com,08012345678",Usa,Basic,Comedy,51.03,
,sarah connor,"alice@gmail.com,07098765432",uk,Basic,action,19.02,4
U1008,,,canada,Standard,comedy,70.5,3
U1113,bob lee,"bob@yahoo.com,09011223344",Nigeria,standard,comedy,59.48,4
U1013,sarah connor,"alice@gmail.com,07098765432",uk,Premium,Drama,29.38,4
U1059,Chris Evans,"alice@gmail.com,07098765432",Nigeria,Standard,,69.52,1
U1137,John Doe,,Canada,premium,SCI-FI,8.73,1
U1003,sarah connor,"alice@gmail.com,07098765432",canada,basic,Drama,1.1,1
U1017,Chris Evans,"bob@yahoo.com,09011223344",Canada,standard,drama,104.03,5
U1038,Chris Evans,"alice@gmail.com,07098765432",nigeria,premium,sci-fi,7.78,4
U1072,sarah connor,"alice@gmail.com,07098765432",,basic,action,49.75,2
U1140,Alice Brown,"alice@gmail.com,07098765432",Usa,standard,action,64.65,2
U1133,jane smith,"alice@gmail.com,07098765432",Usa,Standard,SCI-FI,8.01,2
U1063,jane smith,"bob@yahoo.com,09011223344",canada,Standard,action,31.86,5
U1054,bob lee,"bob@yahoo.com,09011223344",Usa,Basic,drama,83.58,4
U1107,jane smith,"john@example.com,08012345678",Canada,Standard,Action,24.53,2
U1050,John Doe,"john@example.com,08012345678",uk,Standard,action,22.45,5
,,,,,,,
U1058,John Doe,"bob@yahoo.com,09011223344",nigeria,premium,sci-fi,82.13,3
U1048,sarah connor,"john@example.com,08012345678",USA,Standard,,10.27,4
U1088,sarah connor,"bob@yahoo.com,09011223344",Canada,,Drama,13.51,
U1021,Chris Evans,"john@example.com,08012345678",canada,standard,comedy,103.51,
U1057,John Doe,"bob@yahoo.com,09011223344",nigeria,Premium,SCI-FI,9.31,5
U1018,bob lee,"bob@yahoo.com,09011223344",UK,Standard,Comedy,19.58,
U1129,Alice Brown,"alice@gmail.com,07098765432",Usa,Basic,Comedy,1.16,3
U1037,bob lee,"john@example.com,08012345678",USA,Standard,comedy,65.6,
U1117,Alice Brown,"john@example.com,08012345678",Canada,standard,action,8.23,1
U1001,John Doe,"bob@yahoo.com,09011223344",USA,Premium,drama,61.2,2
U1052,sarah connor,"john@example.com,08012345678",Nigeria,standard,sci-fi,97.37,
U1130,jane smith,"alice@gmail.com,07098765432",USA,Premium,comedy,110.4,4
U1103,sarah connor,"bob@yahoo.com,09011223344",,basic,Action,72.51,1
U1099,John Doe,"alice@gmail.com,07098765432",UK,,Comedy,70.75,5
U1116,John Doe,"john@example.com,08012345678",uk,Basic,action,66.25,4
U1087,John Doe,"alice@gmail.com,07098765432",Nigeria,Standard,Drama,88.55,
U1074,Chris Evans,"bob@yahoo.com,09011223344",nigeria,standard,Drama,32.86,4
U1121,jane smith,"bob@yahoo.com,09011223344",UK,standard,action,41.46,3
,,,,,,,
U1020,jane smith,"john@example.com,08012345678",Usa,premium,sci-fi,78.59,1
U1071,John Doe,"john@example.com,08012345678",Nigeria,premium,SCI-FI,66.03,5
U1106,Chris Evans,"alice@gmail.com,07098765432",UK,basic,comedy,82.92,
U1014,sarah connor,"bob@yahoo.com,09011223344",UK,basic,action,58.87,2
U1092,bob lee,"john@example.com,08012345678",UK,premium,comedy,29.33,2
U1102,sarah connor,"alice@gmail.com,07098765432",Nigeria,Basic,Drama,15.91,3
