User_ID,User_Name,Country,Subscription_Type,Genre_Watched,Watch_Time_Hours,Rating,Email_Address,Phone_Number
U1026,Bob Lee,Nigeria,Premium,Comedy,79.48,2.0,john@example.com,08012345678
U1138,Chris Evans,Canada,Premium,Comedy,24.86,1.0,alice@gmail.com,07098765432
U1082,Chris Evans,Uk,Basic,Drama,66.02,1.0,john@example.com,08012345678
U1096,John Doe,Usa,Standard,Action,61.24,4.0,john@example.com,08012345678
U1140,Alice Brown,Usa,Standard,Action,64.65,2.0,alice@gmail.com,07098765432
U1036,Alice Brown,Usa,Standard,Sci-Fi,45.44,4.0,bob@yahoo.com,09011223344
U1081,Bob Lee,Canada,Standard,Action,78.89,5.0,bob@yahoo.com,09011223344
U1022,Alice Brown,Canada,Standard,Drama,2.13,1.0,bob@yahoo.com,09011223344
U1143,Alice Brown,Nigeria,Standard,Action,62.16,3.0,bob@yahoo.com,09011223344
U1067,Bob Lee,Uk,Premium,Sci-Fi,36.1,3.0,alice@gmail.com,07098765432
U1114,Bob Lee,Uk,Premium,Comedy,67.29,none,bob@yahoo.com,09011223344
U1011,Chris Evans,Canada,Standard,Sci-Fi,118.84,3.0,alice@gmail.com,07098765432
U1065,Jane Smith,Uk,Standard,Action,83.6,1.0,bob@yahoo.com,09011223344
U1085,Bob Lee,Nigeria,Premium,Drama,70.9,1.0,alice@gmail.com,07098765432
U1006,Jane Smith,Usa,Standard,Comedy,82.02,none,bob@yahoo.com,09011223344
U1027,John Doe,Uk,Standard,Drama,103.61,5.0,bob@yahoo.com,09011223344
U1076,John Doe,Canada,Standard,Comedy,3.84,5.0,john@example.com,08012345678
U1139,none,Uk,Basic,Drama,30.3,none,alice@gmail.com,07098765432
U1126,John Doe,Usa,Basic,Sci-Fi,8.97,3.0,bob@yahoo.com,09011223344
U1041,John Doe,Nigeria,Standard,Drama,79.07,3.0,john@example.com,08012345678
U1004,none,Nigeria,Basic,Action,12.22,1.0,bob@yahoo.com,09011223344
U1135,Chris Evans,Usa,Premium,Action,112.17,5.0,alice@gmail.com,07098765432
U1032,Chris Evans,Canada,Standard,Sci-Fi,49.31,2.0,alice@gmail.com,07098765432
U1127,John Doe,Usa,Standard,Sci-Fi,72.84,3.0,bob@yahoo.com,09011223344
U1132,Jane Smith,Uk,Premium,Action,66.99,2.0,bob@yahoo.com,09011223344
U1068,John Doe,Canada,Standard,Drama,94.38,2.0,bob@yahoo.com,09011223344
U1010,Chris Evans,none,Basic,Action,32.04,none,bob@yahoo.com,09011223344
U1095,Bob Lee,Usa,Premium,Action,49.57,5.0,john@example.com,08012345678
none,Chris Evans,Uk,Standard,Comedy,109.84,2.0,bob@yahoo.com,09011223344
U1000,Bob Lee,Usa,Basic,Drama,32.35,none,bob@yahoo.com,09011223344
U1119,Sarah Connor,Usa,Basic,Comedy,75.04,2.0,none,none
U1111,Jane Smith,Nigeria,none,Drama,28.15,5.0,bob@yahoo.com,09011223344
U1064,Alice Brown,Usa,Standard,Drama,5.01,5.0,bob@yahoo.com,09011223344
U1044,John Doe,Nigeria,Standard,Action,106.16,1.0,alice@gmail.com,07098765432
U1086,Sarah Connor,Usa,Basic,Action,95.99,4.0,alice@gmail.com,07098765432
U1028,Jane Smith,Nigeria,Standard,Comedy,6.26,1.0,john@example.com,08012345678
U1040,Bob Lee,Uk,Basic,Action,none,3.0,john@example.com,08012345678
U1112,Jane Smith,Nigeria,Premium,Drama,112.49,1.0,alice@gmail.com,07098765432
U1025,John Doe,Uk,Basic,Comedy,33.35,2.0,alice@gmail.com,07098765432
U1023,Sarah Connor,Usa,Basic,Sci-Fi,25.23,4.0,bob@yahoo.com,09011223344
U1117,Alice Brown,Canada,Standard,Action,8.23,1.0,john@example.com,08012345678
U1079,Chris Evans,Uk,Premium,Sci-Fi,103.63,2.0,john@example.com,08012345678
U1039,Sarah Connor,Uk,Standard,Comedy,111.0,2.0,alice@gmail.com,07098765432
U1093,John Doe,Usa,Basic,Comedy,80.51,3.0,bob@yahoo.com,09011223344
none,none,none,none,none,none,none,none,none
none,none,none,none,none,none,none,none,none
U1134,Jane Smith,Canada,Premium,Action,13.44,4.0,alice@gmail.com,07098765432
U1047,Sarah Connor,Canada,Premium,Sci-Fi,37.57,1.0,bob@yahoo.com,09011223344
U1108,Jane Smith,Uk,Basic,Action,81.96,2.0,john@example.com,08012345678
U1061,Alice Brown,Uk,Standard,Action,12.39,3.0,alice@gmail.com,07098765432
U1073,Chris Evans,Nigeria,Standard,Action,21.2,none,alice@gmail.com,07098765432
U1033,Jane Smith,none,Basic,Action,48.35,3.0,alice@gmail.com,07098765432
U1120,Bob Lee,Usa,Premium,Action,101.28,3.0,john@example.com,08012345678
U1118,Alice Brown,Uk,Premium,Action,94.96,2.0,bob@yahoo.com,09011223344
U1125,none,Usa,Basic,Comedy,44.4,5.0,none,none
U1062,Jane Smith,Uk,Premium,Sci-Fi,62.75,5.0,bob@yahoo.com,09011223344
none,none,none,none,none,none,none,none,none
U1019,Sarah Connor,Usa,none,Action,29.98,5.0,alice@gmail.com,07098765432
U1084,Bob Lee,Usa,Basic,Drama,108.74,4.0,bob@yahoo.com,09011223344
U1053,Bob Lee,Nigeria,Premium,Sci-Fi,18.02,2.0,alice@gmail.com,07098765432
U1005,Jane Smith,Usa,Premium,Drama,82.6,1.0,john@example.com,08012345678
U1042,Alice Brown,Usa,Premium,Sci-Fi,0.58,2.0,bob@yahoo.com,09011223344
U1124,Sarah Connor,Uk,Premium,Comedy,117.59,none,john@example.com,08012345678
U1049,Alice Brown,Canada,Basic,Drama,21.03,2.0,alice@gmail.com,07098765432
U1035,Bob Lee,Uk,Basic,Drama,86.33,5.0,alice@gmail.com,07098765432
U1080,Bob Lee,Uk,Standard,Drama,17.59,4.0,alice@gmail.com,07098765432
U1077,John Doe,Nigeria,Standard,Sci-Fi,31.41,5.0,bob@yahoo.com,09011223344
U1034,Sarah Connor,Nigeria,Premium,Sci-Fi,11.77,3.0,john@example.com,08012345678
U1046,Bob Lee,Nigeria,Basic,Drama,93.58,2.0,bob@yahoo.com,09011223344
U1007,Chris Evans,Uk,Premium,Drama,101.5,1.0,john@example.com,08012345678
U1043,Jane Smith,Canada,Basic,Action,111.72,5.0,bob@yahoo.com,09011223344
U1070,John Doe,Canada,Basic,Action,none,1.0,alice@gmail.com,07098765432
U1122,Sarah Connor,Nigeria,Standard,Action,9.45,1.0,bob@yahoo.com,09011223344
U1110,Jane Smith,none,Basic,Action,55.89,none,bob@yahoo.com,09011223344
U1091,Sarah Connor,Uk,Basic,Sci-Fi,106.0,5.0,alice@gmail.com,07098765432
U1083,Sarah Connor,Uk,Premium,Action,69.65,3.0,alice@gmail.com,07098765432
U1144,Chris Evans,Usa,Basic,Comedy,59.02,5.0,john@example.com,08012345678
U1069,Bob Lee,Usa,Basic,Comedy,51.03,none,john@example.com,08012345678
none,Sarah Connor,Uk,Basic,Action,19.02,4.0,alice@gmail.com,07098765432
U1008,none,Canada,Standard,Comedy,70.5,3.0,none,none
U1113,Bob Lee,Nigeria,Standard,Comedy,59.48,4.0,bob@yahoo.com,09011223344
U1013,Sarah Connor,Uk,Premium,Drama,29.38,4.0,alice@gmail.com,07098765432
U1059,Chris Evans,Nigeria,Standard,none,69.52,1.0,alice@gmail.com,07098765432
U1137,John Doe,Canada,Premium,Sci-Fi,8.73,1.0,none,none
U1003,Sarah Connor,Canada,Basic,Drama,1.1,1.0,alice@gmail.com,07098765432
U1017,Chris Evans,Canada,Standard,Drama,104.03,5.0,bob@yahoo.com,09011223344
U1038,Chris Evans,Nigeria,Premium,Sci-Fi,7.78,4.0,alice@gmail.com,07098765432
U1072,Sarah Connor,none,Basic,Action,49.75,2.0,alice@gmail.com,07098765432
U1140,Alice Brown,Usa,Standard,Action,64.65,2.0,alice@gmail.com,07098765432
U1133,Jane Smith,Usa,Standard,Sci-Fi,8.01,2.0,alice@gmail.com,07098765432
U1063,Jane Smith,Canada,Standard,Action,31.86,5.0,bob@yahoo.com,09011223344
U1054,Bob Lee,Usa,Basic,Drama,83.58,4.0,bob@yahoo.com,09011223344
U1107,Jane Smith,Canada,Standard,Action,24.53,2.0,john@example.com,08012345678
U1050,John Doe,Uk,Standard,Action,22.45,5.0,john@example.com,08012345678
none,none,none,none,none,none,none,none,none
U1058,John Doe,Nigeria,Premium,Sci-Fi,82.13,3.0,bob@yahoo.com,09011223344
U1048,Sarah Connor,Usa,Standard,none,10.27,4.0,john@example.com,08012345678
U1088,Sarah Connor,Canada,none,Drama,13.51,none,bob@yahoo.com,09011223344
U1021,Chris Evans,Canada,Standard,Comedy,103.51,none,john@example.com,08012345678
U1057,John Doe,Nigeria,Premium,Sci-Fi,9.31,5.0,bob@yahoo.com,09011223344
U1018,Bob Lee,Uk,Standard,Comedy,19.58,none,bob@yahoo.com,09011223344
U1129,Alice Brown,Usa,Basic,Comedy,1.16,3.0,alice@gmail.com,07098765432
U1037,Bob Lee,Usa,Standard,Comedy,65.6,none,john@example.com,08012345678
U1117,Alice Brown,Canada,Standard,Action,8.23,1.0,john@example.com,08012345678
U1001,John Doe,Usa,Premium,Drama,61.2,2.0,bob@yahoo.com,09011223344
U1052,Sarah Connor,Nigeria,Standard,Sci-Fi,97.37,none,john@example.com,08012345678
U1130,Jane Smith,Usa,Premium,Comedy,110.4,4.0,alice@gmail.com,07098765432
U1103,Sarah Connor,none,Basic,Action,72.51,1.0,bob@yahoo.com,09011223344
U1099,John Doe,Uk,none,Comedy,70.75,5.0,alice@gmail.com,07098765432
U1116,John Doe,Uk,Basic,Action,66.25,4.0,john@example.com,08012345678
U1087,John Doe,Nigeria,Standard,Drama,88.55,none,alice@gmail.com,07098765432
U1074,Chris Evans,Nigeria,Standard,Drama,32.86,4.0,bob@yahoo.com,09011223344
U1121,Jane Smith,Uk,Standard,Action,41.46,3.0,bob@yahoo.com,09011223344
none,none,none,none,none,none,none,none,none
U1020,Jane Smith,Usa,Premium,Sci-Fi,78.59,1.0,john@example.com,08012345678
U1071,John Doe,Nigeria,Premium,Sci-Fi,66.03,5.0,john@example.com,08012345678
U1106,Chris Evans,Uk,Basic,Comedy,82.92,none,alice@gmail.com,07098765432
U1014,Sarah Connor,Uk,Basic,Action,58.87,2.0,bob@yahoo.com,09011223344
U1092,Bob Lee,Uk,Premium,Comedy,29.33,2.0,john@example.com,08012345678
U1102,Sarah Connor,Nigeria,Basic,Drama,15.91,3.0,alice@gmail.com,07098765432
